lower_super_output_area,names,population_density,population_density_log,household_composition_couple_household_without_dependent_children,household_composition_other_multi_person_household,tenure_owned_outright,tenure_owned_with_a_mortgage_or_loan,dwelling_type_whole_house_or_bungalow_detached,dwelling_type_flat_maisonette_or_apartment,economic_activity_employment_rate,qualifications_highest_level_of_qualification_apprenticeship,qualifications_highest_level_of_qualification_other_qualifications,health_fair_health,health_bad_or_very_bad_health,road_casualties_2011_total
E01003447,Merton 016D,40.2,3.693867 ,24.9,11.1,10,31.1,1,73,68.9,1.3,13.2,13.2,5.6,5
E01003471,Merton 016E,30.5,3.417727 ,31.3,10.1,31.6,33.6,8.6,29.6,68.6,1.4,10.2,12.2,2.9,4
E01003413,Merton 017A,30.1,3.404525 ,21.2,17.9,22.8,43.6,3.6,36.1,65.2,1.8,12.9,9.3,4.5,1
E01003414,Merton 017B,22.4,3.109061 ,25.6,17.3,35.4,45.1,3.8,8.1,59,1.8,11.1,15.1,6.5,2
E01003415,Merton 017C,21.8,3.081910 ,24.8,16.2,33.4,48.2,4.2,3.1,60.4,1.9,11.5,12.6,3.7,4
E01003416,Merton 017D,32.1,3.468856 ,28.5,15,34.5,47,3.4,7.7,60.1,2.7,12.1,12.5,4.3,0
E01003434,Merton 017E,17.8,2.879198 ,27.7,15.4,32.8,47,4.1,9.1,64.9,2.7,11.3,11.7,4.5,1
E01003373,Merton 018A,17.1,2.839078 ,16.8,14,8.4,20.5,4.2,52.5,53.6,1.1,14,12.2,5.9,5
E01003378,Merton 018B,22.4,3.109061 ,21.3,15.2,17.6,36.4,4.7,25.3,64.9,1.5,12.2,10.6,3.7,0
E01003379,Merton 018C,13.5,2.602690 ,14,12.8,11.5,21.3,3,65.7,57.3,2,14.3,13.7,5.4,9
E01003390,Merton 018D,9.2,2.219203 ,12.8,14.8,5.3,15.1,0.6,92.4,56.7,1.3,16.4,13,5.1,18
E01003405,Merton 018E,28.2,3.339322 ,18.6,18.7,19,31,4.9,30.4,60.3,1.3,13.9,12.6,6,1
E01003429,Merton 019A,15.3,2.727853 ,25.4,12.2,31,46.7,3.7,6.4,64.3,2.6,8.6,12.1,3.1,0
E01003430,Merton 019B,12.1,2.493205 ,14.7,13.8,8.8,31.2,4.9,47.4,58.7,1.3,11.2,11.4,4,1
E01003431,Merton 019C,12.6,2.533697 ,16.7,11.4,16.1,30.1,5.5,19.4,56.4,2.6,8.8,11.7,4.2,3
E01003432,Merton 019D,48.6,3.883624 ,16.9,9.8,11,26.8,4.8,21.1,55.8,2.1,9,12.7,5.6,0
E01003433,Merton 019E,27.4,3.310543 ,21.6,15.1,27.2,41,4.2,29.1,59.7,2.6,12.6,11.9,4.5,6
E01003466,Merton 020A,23.7,3.165475 ,33.9,12.7,43.1,42.1,5,9.4,67.9,2.5,8,10.7,3.8,0
E01003467,Merton 020B,39.3,3.671225 ,35.3,10.3,36.4,42.4,2.4,10.6,69.8,1.7,7.6,10,2.5,1
E01003468,Merton 020C,46.6,3.841601 ,33.8,11.6,38.1,48.1,2.5,7.8,72.6,2.9,6.4,8.8,2.9,0
E01003469,Merton 020D,29.5,3.384390 ,24.9,17.2,23.5,43.4,3.2,39.5,67.7,1.8,12.2,11.9,3.7,7
E01003470,Merton 020E,25.6,3.242592 ,23.9,18.6,31.5,43.3,2.4,19,65.7,2.7,11.1,10.5,2.7,10
E01003362,Merton 021A,42.4,3.747148 ,32.3,12.4,47.3,39.3,0.6,3,63.7,2.9,8.2,11.4,3.4,2
E01003363,Merton 021B,46.3,3.835142 ,33.7,10.2,45.3,45.3,1.8,2.5,68.6,3.2,8.2,10.2,3.1,1
E01003364,Merton 021C,22,3.091042 ,34.1,11.1,44.3,44.3,1.2,7.5,66.7,4.7,6.9,11.5,3.3,0
E01003365,Merton 021D,33.6,3.514526 ,39.8,12.3,48.1,42.1,3.2,1.2,63.6,2.8,7.9,12.8,4,4
E01003421,Merton 021E,27.4,3.310543 ,30.8,13.6,30.2,40,1.2,46.4,69.9,2.9,10.6,11.9,4.2,2
E01003374,Merton 022A,33.4,3.508556 ,18.1,12.3,22.3,23.8,5.6,67.8,56.5,2.6,10,14.9,6.5,19
E01003375,Merton 022B,182.7,5.207845 ,26.1,11,25.5,33.8,4.6,35,63.5,2.3,10.8,15.1,4.9,38
E01003437,Merton 022C,39.1,3.666122 ,31.3,11.8,35.6,33.1,16.4,37,60.3,2,11.1,14.2,5.7,4
E01003440,Merton 022D,45.5,3.817712 ,25.4,11.2,23.9,33.7,4.8,49.4,60.9,1.7,10.4,11.2,4.4,5
E01003441,Merton 022E,21.9,3.086487 ,23.7,16.2,17.3,33.2,3.2,37.9,60.4,2.2,11.5,14.2,6.5,5
E01003427,Merton 023A,34.6,3.543854 ,21.4,21.2,25.2,29.2,3.9,51.5,62.7,1.8,15,11.8,3.5,9
E01003436,Merton 023B,21.6,3.072693 ,24.5,12.2,20.7,37.6,7.4,14.1,62.5,2.5,9.9,15.3,5.4,3
E01003439,Merton 023C,36.3,3.591818 ,23.4,17.3,15.1,27.4,4.9,27.2,61.2,1.2,15.5,12.4,4.4,15
E01003448,Merton 023D,20,2.995732 ,19.4,13.9,17.9,33.6,4.1,17.5,60.3,1.5,12.9,13.4,4.9,2
E01003453,Merton 023E,20.6,3.025291 ,20,13.5,23.1,29.4,3.5,18.8,61.1,2.1,15.2,10,6.3,2
E01003438,Merton 024A,19.4,2.965273 ,20.2,12.2,20.2,31.5,4.1,9.9,60.1,2.3,11,14.7,5.9,3
E01003449,Merton 024B,30,3.401197 ,23,13.4,22.6,34.9,3.3,34.3,60.1,2,13.2,13,5.7,0
E01003450,Merton 024C,22.6,3.117950 ,20.6,12.6,19.1,33.2,4.6,9.2,62.5,1.7,9.9,12.4,4.5,6
E01003451,Merton 024D,57.3,4.048301 ,33.6,11,37.6,41.5,1.5,10.1,65.3,2.7,8.2,12.7,4.4,2
E01003452,Merton 024E,33.9,3.523415 ,21.3,11.2,10.3,23.2,2.3,51.6,61.4,2,10.2,15.7,6.7,6
E01003417,Merton 025A,30,3.401197 ,35.4,9.2,41.3,48.5,1,16,69.5,4.5,6.1,11.5,4.2,1
E01003418,Merton 025B,15.1,2.714695 ,37.7,7.7,43.7,48.4,0.9,0.4,70.7,4.4,6,11.8,2.6,0
E01003419,Merton 025C,60.4,4.100989 ,32.2,8.6,32.6,52.5,1.2,21.5,69.7,3,8.6,10.3,3.8,2
E01003420,Merton 025D,19.1,2.949688 ,28.9,11.3,36.2,50.6,3.9,9.8,71.7,4.3,7.6,12.3,3,2
E01003422,Merton 025E,28.8,3.360375 ,32.9,9.7,40.4,44.1,1.1,19.5,68.2,2.7,10,12.8,3.8,0
E01003744,Redbridge 001A,66.4,4.195697 ,37.5,6.8,48.5,37,39.1,29,67.3,2.1,4.2,12.3,3.7,3
E01003745,Redbridge 001B,48.8,3.887730 ,42.9,7.7,48.9,46.6,62.2,4.3,67,2,5.1,6.6,2,4
E01003746,Redbridge 001C,64.1,4.160444 ,36.6,4.5,49.3,35.6,27.1,43.4,68.8,2.5,4,11.9,2.9,6
E01003747,Redbridge 001D,29.8,3.394508 ,38.2,6.3,48.6,41.2,34.3,7.2,65.3,2.5,3.5,10.5,3.2,1
E01003748,Redbridge 001E,40.5,3.701302 ,35.7,8.4,48.4,34.4,42.9,24.9,64,1.7,6.4,10.8,6.5,1
E01003749,Redbridge 001F,20.5,3.020425 ,30,12.3,43.2,32.5,7.2,33.7,69.2,1.3,7.9,11.6,3.2,0
E01003750,Redbridge 001G,37.3,3.618993 ,26.2,7.1,34.7,31.5,5,60.4,70.5,2,6.6,13.2,4.5,22
E01003720,Redbridge 002A,52.7,3.964615 ,22,7.8,25.8,25.5,3.2,38.4,54.6,2.4,9.1,19,9.5,3
E01003722,Redbridge 002B,27.6,3.317816 ,26.2,9,25.4,35.7,4.7,22.6,58.1,2.5,8.3,15.6,6.8,2
E01003723,Redbridge 002C,29.1,3.370738 ,22.7,7.5,22.9,36.1,2.5,13.9,59.3,2.5,6.1,15,7.5,4
E01003726,Redbridge 002D,379,5.937536 ,17.6,6.5,18.2,28.7,5.6,30.7,55.6,1.7,7.8,13.1,8.3,11
E01003721,Redbridge 003A,18.3,2.906901 ,27,9.3,32.9,35.8,1.6,19.3,58.1,2.3,8.6,15.4,6.1,1
E01003724,Redbridge 003B,20.9,3.039749 ,29.2,6.5,29.9,41.9,10.9,10.5,64.8,2.5,7.1,8.8,6.7,0
E01003725,Redbridge 003C,15.1,2.714695 ,22.6,5.8,18.6,36.3,3.9,21,61.6,2,7.4,12.5,6.2,0
E01003727,Redbridge 003D,21.5,3.068053 ,21.5,8.1,20.2,34.7,2.8,13.6,56.1,2.8,9.1,14.6,9,1
E01003654,Redbridge 004A,23.4,3.152736 ,26,11.3,29,43,1.8,23.7,63.9,2.8,7.8,13,4.7,0
E01003655,Redbridge 004B,22.4,3.109061 ,31,8.6,34.6,41.1,3.8,13.7,67.9,2.4,8,10.6,4.4,1
E01003658,Redbridge 004C,23.3,3.148453 ,21.9,9.9,15.6,28.2,2.8,51.9,60.3,2,9.9,13,6.2,4
E01003660,Redbridge 004D,54.2,3.992681 ,30.8,6.6,35,49.3,1,11.9,72,2.7,6.6,9.1,2.8,2
E01003656,Redbridge 005A,54.2,3.992681 ,24.1,7.5,25.7,30.8,3.2,36.3,61.8,3.5,6,15.8,6.5,10
E01003657,Redbridge 005B,43.3,3.768153 ,31.4,6.4,33.3,39.2,11.1,29.6,65.4,2.6,5.7,10.7,4.9,12
E01003659,Redbridge 005C,37.1,3.613617 ,28.4,6.9,29.9,54.7,4.2,4.3,68.3,4.3,7.3,9.5,3.8,4
E01003698,Redbridge 006A,18.6,2.923162 ,34.7,8.5,35.8,47,1.9,11,66.1,3.4,6.7,10.5,4.6,1
E01003699,Redbridge 006B,85.9,4.453184 ,30.3,7.7,38.4,42.1,13.8,19.6,70.1,2.7,6.9,12.7,5.6,1
E01003700,Redbridge 006C,65.9,4.188138 ,28,9,27.6,39.7,12.3,20,62.5,2.4,6.8,12.3,5.7,14
E01003701,Redbridge 006D,29.5,3.384390 ,26,16.1,32.7,34,4.8,23.5,60.5,2.1,12.4,12.5,4.7,3
E01003702,Redbridge 006E,31,3.433987 ,23.4,7.9,30.4,35.8,3.2,34.5,66.6,2.3,9.3,12.5,6,1
E01003703,Redbridge 006F,99.3,4.598146 ,28.9,8.7,27.4,42.8,10,32.7,64.3,2.3,7.2,10.4,4,3
E01003704,Redbridge 006G,29.2,3.374169 ,23.6,10.5,22.7,36.3,3.1,34.7,58.5,2.7,9.8,13.3,6.5,7
E01003668,Redbridge 007A,22,3.091042 ,31.8,10.9,35,28.9,7.2,64.1,74.8,1.2,6.6,11.8,3.9,1
E01003669,Redbridge 007B,17.8,2.879198 ,32.2,8.3,34.7,42.7,8.4,31.5,73.1,2.4,4.7,7.6,3,5
E01003670,Redbridge 007C,24.4,3.194583 ,30.3,8,32.4,35.5,3.9,35.7,68.5,2.9,6,10.3,2.7,4
E01003671,Redbridge 007D,20.2,3.005683 ,35.7,4.7,40.4,53.4,6.3,5.7,71.6,2.7,3.8,8.2,2.7,0
E01003672,Redbridge 007E,18.3,2.906901 ,21.6,9,19.7,23.9,2.4,84.9,68.3,1,5.3,13.7,6,14
E01003673,Redbridge 007F,19.7,2.980619 ,32.1,9.5,20.9,36.8,3.7,45.6,76.3,1.5,5.6,8.7,2.6,11
E01003674,Redbridge 007G,26.7,3.284664 ,27.3,10.5,15.3,32.4,2.2,74.9,76.2,1.5,7.4,8.2,4.4,7
E01003707,Redbridge 008A,25.1,3.222868 ,35.4,8.1,35.4,45.4,8.4,9.6,59.5,2,7.7,14,4.9,1
E01003708,Redbridge 008B,44,3.784190 ,21.4,9,21.2,28.1,5.6,58.3,51.5,2.2,9,13.5,6.9,2
E01003709,Redbridge 008C,23.7,3.165475 ,36.1,11.2,44.6,40.4,3.1,2.2,60.2,2.2,7.7,12.9,5.7,0
E01003710,Redbridge 008D,21.9,3.086487 ,32.1,14.8,46.7,42.6,26.1,10.2,62.6,1.7,8.1,14.8,4.7,3
E01003759,Redbridge 009A,22.6,3.117950 ,35.7,8.7,43.3,45.7,2.5,8.3,63.9,3.1,5.8,12.1,3.6,2
E01003760,Redbridge 009B,30.4,3.414443 ,27.1,10,27.2,41.3,3.6,31.9,64.9,2.4,9.9,11.8,3.5,5
E01003761,Redbridge 009C,10.5,2.351375 ,11.5,8.7,5.6,10.2,1.3,89.7,51.8,1.9,13.9,11.3,5.1,2
E01003762,Redbridge 009D,25,3.218876 ,27.3,8.5,24.7,46.2,4.1,35.4,71.4,2.8,5.9,9.4,3.6,4
E01003763,Redbridge 009E,69.6,4.242765 ,32.1,11.6,33.2,50.7,2.2,16.4,68,2.9,7.1,11.5,3.6,3
E01003764,Redbridge 009F,53.2,3.974058 ,25.7,13.5,22.5,36.5,2.5,51.1,72.3,2.1,7.8,8.9,3.3,30
E01003765,Redbridge 009G,23.2,3.144152 ,28,12,23.2,46.6,3.7,27.9,76.2,2,5,7.4,2.9,20
E01003705,Redbridge 010A,31.2,3.440418 ,26.9,10.8,30.5,39,10.2,20.9,62.8,1.8,8.5,10.8,4,3
E01003706,Redbridge 010B,19.5,2.970414 ,25.6,8.3,36.9,33.4,2.4,35.1,59.3,2.2,9.6,13.8,4.5,1
E01003711,Redbridge 010C,36.4,3.594569 ,32.3,12.4,34.6,34.1,4.3,25.7,62.4,2.7,10.3,14.7,5.7,13
E01003712,Redbridge 010D,16.8,2.821379 ,17.7,9.3,16.4,24.8,2.6,48.4,51.4,2,9,13.5,7.9,2
E01003646,Redbridge 012A,20.5,3.020425 ,21.7,19.2,31.3,35.3,2,32.2,56.4,1.4,11.8,13.5,6,7
E01003648,Redbridge 012B,21.7,3.077312 ,40.5,11.9,52.1,40.2,6.8,14.9,61.3,2.5,7.1,13.7,4.4,2
E01003649,Redbridge 012C,18.5,2.917771 ,33,15,34.2,46.3,3.8,20.9,59.8,2.1,8.7,12.6,4.8,2
E01003651,Redbridge 012D,19.3,2.960105 ,29,15.9,41.2,47.2,4.5,17,61.3,1.3,11.4,13.9,4.4,3
E01003639,Redbridge 013A,103.7,4.641502 ,22.1,12,24.1,32.6,2.9,38.7,59.7,2.1,11.8,13.1,5.1,2
E01003640,Redbridge 013B,612.8,6.418039 ,25.8,11.9,31,44.6,5.6,26,63.8,1.8,9.5,13.1,4.3,21
E01003641,Redbridge 013C,26.5,3.277145 ,26,17.2,28.7,42.6,7.9,15,62.6,1.4,10.1,12.3,4.5,17
E01003642,Redbridge 013D,30.5,3.417727 ,23.6,14.9,29.3,34.9,6.4,17.6,57.8,1.7,10.2,14.2,5.8,1
E01003774,Redbridge 014A,25.6,3.242592 ,27.6,8.1,27,38.3,3,54.2,74,1.6,5.3,10.7,3.8,5
E01003775,Redbridge 014B,33.1,3.499533 ,28.7,15.9,38.6,33.1,17.2,49.5,69.7,1.2,8.7,10.8,3.4,4
E01003776,Redbridge 014C,34.6,3.543854 ,17.2,8.7,16.2,19,2.7,87.8,66.4,1.5,7.6,17.7,9.2,9
E01003777,Redbridge 014D,23.6,3.161247 ,31.3,9.9,27.2,35.2,12,56.5,76.5,1.8,5.6,10.4,3.6,0
E01003778,Redbridge 014E,35,3.555348 ,27.1,13.4,30.4,28.3,8.4,66.2,76.2,2.4,6.3,10.9,3.6,7
E01003779,Redbridge 014F,16.7,2.815409 ,22,8.9,34.2,32.5,2.6,48.6,65.8,1.4,7.4,14.2,6.9,2
E01003780,Redbridge 014G,30,3.401197 ,40,9.5,51.1,41.2,6.4,4.1,64.4,1.7,5.9,10.6,3.9,0
E01003647,Redbridge 015A,15.9,2.766319 ,30.9,18.1,32.8,34.2,3.7,25.7,60.3,1.5,11.4,13,4.6,2
E01003650,Redbridge 015B,19.4,2.965273 ,27.2,13.1,32.2,33.6,5.5,37.1,58.2,2.3,9.9,15.8,5.4,1
E01003652,Redbridge 015C,16.9,2.827314 ,28.8,12.4,34.9,47.5,3.2,6.5,61.7,1.3,8.2,11.1,4.6,2
E01003653,Redbridge 015D,20.5,3.020425 ,23.6,15.3,30.4,29.1,4,33.9,59.5,1.4,14.5,12.3,5.1,10
E01003638,Redbridge 017A,26.7,3.284664 ,25.1,14.9,24.9,37.3,3.1,30.6,55.3,2.1,9,15.3,5.2,6
E01003643,Redbridge 017B,20,2.995732 ,27,12.2,39.2,40.5,5.3,13.9,60.3,1.9,9.2,13.1,5.2,4
E01003644,Redbridge 017C,15.6,2.747271 ,30.5,14.5,40.2,41,3.3,3.9,57.2,0.9,10.1,12.6,3.9,1
E01003645,Redbridge 017D,25.3,3.230804 ,23.4,13.3,15.3,29.6,4.8,48.2,65.8,1.1,10.9,10.4,5.9,17
E01003789,Redbridge 018A,30.9,3.430756 ,30.6,11.4,32.8,30.7,11.6,39.7,72.1,0.8,6.1,10.7,4.6,1
E01003794,Redbridge 018B,35.6,3.572346 ,29.4,9.4,38.4,40.1,3.3,8.9,66,1.7,6.9,9.6,3.7,11
E01003795,Redbridge 018C,78.7,4.365643 ,33.5,8.8,47.8,40.4,16.9,8.1,70.6,1.8,4.1,8.8,3,3
E01003796,Redbridge 018D,24.6,3.202746 ,29,10.3,34,36.7,4.5,38.3,66.4,1.4,7.5,11.2,3.3,5
E01003661,Redbridge 019A,20.8,3.034953 ,28,11.2,32,45.3,2.4,15,60.9,2.9,8.6,12.1,4.8,2
E01003662,Redbridge 019B,18.3,2.906901 ,21.3,12,20.6,32.9,3,50.9,62,2,10.5,11.6,3.9,5
E01003663,Redbridge 019C,31.6,3.453157 ,27.9,10.1,46.5,36.1,4.5,22.6,57.3,2.4,9.2,17.9,6.3,9
E01003664,Redbridge 019D,16.7,2.815409 ,26.4,12.7,31.8,45.7,3.8,12.3,62,3.1,7.4,9,3.6,0
E01003665,Redbridge 019E,17.1,2.839078 ,27.6,11.7,32.1,53.3,4.5,2.1,63,3.5,6.7,11.1,3.5,3
E01003666,Redbridge 019F,22.1,3.095578 ,13.8,8.4,13,35.9,3.9,57,64.8,1.6,10.4,11.2,2.9,7
E01033590,Redbridge 019H,9.8,2.282382 ,16.1,13.6,8.1,25.8,2.3,63.9,61.6,0.7,10.3,10.6,2.7,4
E01033592,Redbridge 019I,15.1,2.714695 ,24.6,14.2,25.4,40.6,5.6,17.5,65.1,1.7,8.3,10.2,4.7,0
E01003751,Redbridge 020A,59.7,4.089332 ,26.2,17.5,30,38.3,5.1,25.5,56.5,0.7,13.2,13.3,4.8,2
E01003753,Redbridge 020B,17.4,2.856470 ,21.1,16.8,25.5,31.7,2.8,42.3,56.9,1.6,12,12.9,3.3,8
E01003754,Redbridge 020C,16.6,2.809403 ,21.6,18.8,36,38.3,2.9,24,55.8,1.2,10.6,12.8,6.8,0
E01003757,Redbridge 020D,22.8,3.126761 ,18.8,17.7,19.5,33.8,6.4,33.6,57.5,1.3,14.5,11.3,3.4,4
E01003769,Redbridge 022A,24.2,3.186353 ,18.5,23,18.9,24.8,4.4,42.2,49.4,1.2,15.3,11.3,5.3,19
E01003770,Redbridge 022B,69.6,4.242765 ,20.4,16.4,18.9,37.6,4.7,35.2,57.9,1.7,13.7,11.6,6.1,13
E01003771,Redbridge 022C,22.9,3.131137 ,18.2,20,22.2,34.3,9.6,31.4,54.1,1.1,15.2,12.7,4.2,0
E01003773,Redbridge 022D,23.7,3.165475 ,21.2,16.4,26.8,42.7,4.2,25.6,59.4,1.8,11,11.1,4.9,4
E01003752,Redbridge 023A,22.5,3.113515 ,29.2,17.4,25.3,39.7,3.6,33.9,62.4,1.2,10.8,11.6,4.2,7
E01003755,Redbridge 023B,21.8,3.081910 ,21,19.1,26.4,48.5,5.3,10.2,55.9,1,13.2,11.6,4.1,20
E01003756,Redbridge 023C,25.4,3.234749 ,21.7,22,31.2,41,6.4,8.9,54.6,1.7,10.9,13.1,4.7,6
E01003758,Redbridge 023D,25.5,3.238678 ,15.7,14.4,11.5,21.6,4.3,46.3,51.2,1.1,11.5,9.3,4.5,11
E01003766,Redbridge 024A,15.1,2.714695 ,29.7,17.2,28.8,38.1,7.8,17.6,51.2,1.3,13.3,13.1,5.7,0
E01003767,Redbridge 024B,20.1,3.000720 ,15,28.7,21.5,29.6,6.9,25.9,50.7,1.2,20,10.5,4.5,7
E01003768,Redbridge 024C,17.5,2.862201 ,19.5,23.7,20,23.9,3.3,53.5,48.1,1.4,15.1,12.5,5.1,3
E01003772,Redbridge 024D,15.2,2.721295 ,26.1,19.5,33.8,35.9,8.5,8.1,55.4,1.5,12.8,13.1,4.7,0
E01003781,Redbridge 026A,16.8,2.821379 ,18.9,15.8,25.6,24.1,5,58.4,56.3,1.2,11.9,10.7,5.5,5
E01003782,Redbridge 026B,16.7,2.815409 ,18.7,17.8,23.9,22.4,11,39.6,53.9,0.9,14,11.6,5.1,7
E01003786,Redbridge 026C,13,2.564949 ,23.8,15.8,31.9,44.6,5.5,7.7,55.8,1.5,9.3,12.1,3.5,0
E01003787,Redbridge 026D,13.5,2.602690 ,23,19.2,34.8,31.8,5.4,30.1,54.1,1.1,10,14,4.8,3
E01003790,Redbridge 027A,85.6,4.449685 ,25.3,9.5,29.4,35.9,5.9,27.4,65.2,1.3,7,12.8,3.8,1
E01003791,Redbridge 027B,129.2,4.861362 ,40.2,11.5,47.2,40.6,5.3,15,68.1,2.8,6.5,10.5,3.3,20
E01003792,Redbridge 027C,78.1,4.357990 ,27.6,11,34.4,48.4,2.7,21.9,68.1,1.3,4.1,9.6,3.2,2
E01003793,Redbridge 027D,57.1,4.044804 ,23.2,6.7,19.5,30,2.3,70.5,63.2,2.1,7.1,14.9,6.9,1
E01003783,Redbridge 029A,23.6,3.161247 ,13.2,17.9,15.2,14.5,1.8,75.7,47.8,1.6,14.4,12.5,5,12
E01003784,Redbridge 029B,13.8,2.624669 ,22.5,18.1,22.9,36.3,4.9,32.4,54.8,0.8,12.4,13,5.6,4
E01003785,Redbridge 029C,36.9,3.608212 ,18.3,17.6,14.5,20.3,3.5,62.7,55.5,0.6,16,10.5,4.4,7
E01003788,Redbridge 029D,15.9,2.766319 ,17.4,18.8,17.5,18.4,3.3,63.9,56.4,1.1,14.3,10.4,4.7,16
E01003683,Redbridge 030A,12,2.484907 ,16.7,23.3,22.9,32.5,13.9,9.8,48,1.6,18.2,10.6,5.2,7
E01003684,Redbridge 030B,11.3,2.424803 ,19.6,21.6,27.4,34.3,9.1,6.9,51.7,1.4,15.9,11,4.4,3
E01003685,Redbridge 030C,11.4,2.433613 ,17.9,28.1,25.8,29.7,10,13.6,46.5,0.4,18.1,12,5,7
E01003686,Redbridge 030D,16.5,2.803360 ,21.4,23.3,24.4,29.1,6,24.9,50.6,1.1,15.5,9.5,6.1,6
E01003688,Redbridge 030F,13.4,2.595255 ,19.2,27.6,24.6,23.3,6.4,41.5,48.6,0.6,15.7,12,5.6,5
E01003689,Redbridge 030G,24.8,3.210844 ,15.4,26.6,21.5,24.6,5.3,43,45.8,1,14.9,13.5,7.2,29
E01033589,Redbridge 030H,12.2,2.501436 ,20.2,17.9,3.5,8.3,2,90.9,58.4,0.2,15.8,4.6,2.3,11
E01033591,Redbridge 030I,25.4,3.234749 ,18.1,20.6,15.7,24.6,9.5,32.7,47.9,1.4,16.5,11.9,5.3,9
E01003737,Redbridge 031A,35.5,3.569533 ,31,15.7,40.2,37.2,24.5,18.4,57.2,1.6,11.9,13.2,4.9,4
E01003738,Redbridge 031B,23.2,3.144152 ,25.7,17.3,34.7,46,5.3,7.5,57,2,10,12,4.5,6
E01003739,Redbridge 031C,28.8,3.360375 ,22.3,17.3,24.8,44.8,6.3,18.3,58.1,1.6,12.1,9.7,4.7,0
E01003740,Redbridge 031D,45.3,3.813307 ,28,17.6,32.4,43.5,19,9.2,56,1,11,13.1,5.6,1
E01003741,Redbridge 031E,23.9,3.173878 ,26.9,12.4,36.7,36.4,3.1,30.9,56.4,2.1,10.5,15,6.1,5
E01003742,Redbridge 031F,14.4,2.667228 ,17.8,21.4,19.6,40,10.2,11.1,58.4,0.8,14.4,11.4,3.7,4
E01003743,Redbridge 031G,17.4,2.856470 ,21.4,22,25.4,38.5,7.8,11.1,49.1,1.2,14,11.2,5.8,3
E01003728,Redbridge 032A,27.3,3.306887 ,15.6,22.7,15.1,16.9,4.2,54.4,49.6,1,16,10,5.1,47
E01003729,Redbridge 032B,11.9,2.476538 ,13.3,31.6,18.8,22.6,10.3,37.2,42.3,0.5,17.1,13.2,7.1,10
E01003730,Redbridge 032C,8.8,2.174752 ,19.2,28.4,28.1,31.2,11.9,10.5,43.7,0.5,16.2,11.9,5,2
E01003732,Redbridge 032D,12,2.484907 ,9.6,12.3,6.4,14.4,5.1,66.4,46,1.2,11.4,14.1,5.3,0
E01003733,Redbridge 032E,9.8,2.282382 ,14.2,23.9,20.3,36.9,15.7,15.5,48.6,0.6,15.1,12.2,4,2
E01003731,Redbridge 033A,13.9,2.631889 ,14.3,22.6,21.5,29.8,10.1,21.1,47.3,0.9,16.1,11.8,5.3,1
E01003734,Redbridge 033B,12.5,2.525729 ,17.6,26.5,22.8,33.7,13.3,14.7,49,0.9,15.9,13,6.3,11
E01003735,Redbridge 033C,20.3,3.010621 ,10.4,14.7,8.3,13.9,4.6,57.7,39.3,0.8,12.3,16.3,7.8,5
E01003736,Redbridge 033D,9.9,2.292535 ,11.8,22.5,18.1,36.2,11.1,10.9,51.5,1.1,11.8,10.1,3.9,3
E01003713,Redbridge 034A,14.8,2.694627 ,23.3,24.9,32.8,37.2,12.2,11.2,50.7,1.5,14.6,13.2,5,2
E01003714,Redbridge 034B,17.8,2.879198 ,20.1,22.9,25.4,35.4,7.8,16.3,54.7,1.4,16.8,10.5,5.4,10
E01003715,Redbridge 034C,15.6,2.747271 ,16.5,28,26.6,31,6.4,28,48.8,1.1,14.5,14.8,5,8
E01003716,Redbridge 034D,34.7,3.546740 ,24.6,19.6,24.4,37,7,27.2,57.6,1.1,10.6,13.3,5.7,1
E01003718,Redbridge 034E,14.3,2.660260 ,17,15.6,17.9,33.7,3.9,49.8,57.9,0.9,13.8,10.2,4.4,0
E01003719,Redbridge 034F,38.5,3.650658 ,24.5,18.6,26.4,28.6,4.5,41.6,54.2,1.2,11.5,10.6,4.9,11
E01032581,Redbridge 034G,28.9,3.363842 ,18.7,10.3,16.3,32.8,4.1,27,58.2,0.9,12.2,11.7,5.4,4
E01003690,Redbridge 035A,77.7,4.352855 ,28.1,17.1,25.8,26.2,4.9,49.3,57,1.3,11.1,15.1,6.4,17
E01003691,Redbridge 035B,22.9,3.131137 ,20.1,22.5,27.1,44.3,3.8,20.4,53.3,0.9,14.7,9.2,5.8,6
E01003692,Redbridge 035C,15.2,2.721295 ,24.8,19.4,29.7,39.3,5.5,26.6,55,0.7,11.1,12.6,5,0
E01003693,Redbridge 035D,44.4,3.793239 ,29.2,23.2,39.7,43.9,4.4,4.4,55.6,1,9,12.7,4.7,9
E01003694,Redbridge 035E,21.3,3.058707 ,28.1,19.2,37.5,35.7,3.1,17.5,55.2,1.3,11.4,14.3,5.1,0
E01003695,Redbridge 035F,12.7,2.541602 ,23.2,18.4,22.8,27.5,1.6,54.6,52.6,1.6,13.5,13.6,5.5,0
E01003696,Redbridge 035G,19.2,2.954910 ,20.7,31.5,31.9,45.5,2.6,25.7,55,0.9,11.8,11,3.5,9
E01003697,Redbridge 035H,27.3,3.306887 ,23.2,24,30.1,46.1,2.4,19.2,61.9,0.8,12.1,11.3,4.8,23
E01003675,Redbridge 036A,23.1,3.139833 ,25.7,22.7,38.4,34.5,3.2,25.9,60.3,1.3,14.2,12.3,4.3,33
E01003676,Redbridge 036B,19,2.944439 ,27.7,19,34.3,46.1,5.1,6.9,59.4,1.2,11.6,12.7,5.9,0
