lsoa,names,unemployment_rate,couple_household_without_dependent_children,lone_parent_household,ethnic_white,ethnic_black,tenurec_owned_outright,tenurtc_social_rented,good_health,bad_health
E01001821,Hackney 024F,12.8,12.9,17.2,45.8,33.2,5,71.4,75.4,9.2
E01001752,Hackney 025A,6.5,17.7,13.5,60.1,21.4,5.8,33.5,87.8,4.2
E01001753,Hackney 025B,17.2,13,20.4,36.3,39.8,4.4,74.5,80.6,7.7
E01001754,Hackney 025C,9.4,17.3,13.8,57.2,21,4.6,42.8,83.9,5.8
E01001755,Hackney 025D,11.5,10.9,20.9,47.7,28,3.9,63.4,80,8.1
E01001773,Hackney 025E,10.5,18.1,16.2,48.1,25,3.8,54,80.4,7.5
E01001776,Hackney 025F,13.3,13.2,14,46.6,30.6,6.8,68.8,75.3,11
E01001779,Hackney 026A,8.9,17.3,12.5,49.7,22.9,5.4,52.5,82.3,7
E01001781,Hackney 026B,17.3,10.4,21.9,53.5,23.7,3.4,69.2,77.4,8.7
E01001782,Hackney 026C,7.6,23.7,12.1,64.9,12.2,11,33,86.1,5.1
E01001783,Hackney 026D,16.5,10.4,22.6,40,34.6,3.6,73.5,79.8,7.7
E01001777,Hackney 027B,8.2,15.5,15.9,54.8,23.7,4,45.3,83.5,5.6
E01001780,Hackney 027D,11.7,12.9,14.4,51.9,23.5,4.8,61.1,78.4,6.6
E01001784,Hackney 027E,9.7,15.7,16.6,52.2,22.1,4.5,58,84.5,4.9
E01033706,Hackney 027F,5.7,18.7,7.6,71.2,8.6,5.5,17.5,92,2.3
E01033708,Hackney 027G,3.6,22.4,1.3,75.3,4.6,7.4,4.8,94.9,1.4
E01033709,Hackney 027H,5.5,14.2,13.1,55.7,22,2.8,57.2,87.2,4.1
E01033711,Hackney 027I,4.7,15.8,6.2,63.7,10.4,6.4,25.9,90.9,3.3
E01001798,Hackney 028A,15.5,11.4,20,34.1,31.5,7.9,49.6,78.8,7.7
E01001828,Hackney 028B,15.9,12.5,24.5,36.8,39.1,7.1,58.2,80.7,7.2
E01033702,Hackney 028C,11.5,19.8,14.4,48.1,22.1,4.6,40.4,85.1,6
E01033705,Hackney 028D,12.2,13.7,21,35.1,37.7,4,53.5,83.9,5.8
E01033710,Hackney 028E,10.6,14.1,18,51.3,24.8,3.4,20.3,87,4.1
E01001722,Hackney 029A,11.1,13.6,16.3,45.7,29.5,5.8,53,80.6,7.1
E01001728,Hackney 029B,12.2,15,16.4,57.8,19.7,9.9,43.9,88,3.7
E01001822,Hackney 029C,15,11.5,20.5,42,28.9,5,55.5,78.8,8.4
E01001827,Hackney 029D,14.4,11.5,20.9,52,27,7.8,58.1,80,7.9
E01001874,Hammersmith and Fulham 001A,7.6,14,13.7,57.8,17.2,7.5,54.9,83.2,5.4
E01001875,Hammersmith and Fulham 001B,11.8,17.6,25.8,52.8,20.6,12.3,53.6,77.9,7.4
E01001876,Hammersmith and Fulham 001C,9.8,14.5,17.7,40.7,21.8,5,73.7,82.4,5.8
E01001877,Hammersmith and Fulham 001D,9.6,17.9,14.6,45.1,27.1,14.3,30.5,81,6.4
